"","AreaName","Year","RentalRates","LandValue","CA1_3X1","CA1_3X2","CA1_3X3","CA04X12","CA04X7010","CA34X30","CA45X130","CA45X150","CA45X370","Inflation","Interest","GDPGrowth"
"31","Dubuque",2000,131,2034,2349117,89201,26335,47885,62370,26740,24116,160661,48081,0.0338,6.03,4.173240844
"32","Emmet",2000,112,2205,271610,10995,24703,24462,6684,23589,20756,90020,24553,0.0338,6.03,4.173240844
"33","Fayette",2000,126,1966,474369,22022,21541,38972,12116,20314,37619,184159,39246,0.0338,6.03,4.173240844
"34","Floyd",2000,117,2029,388281,16854,23038,20423,8612,21979,24751,119613,20705,0.0338,6.03,4.173240844
"35","Franklin",2000,123,2161,284028,10679,26597,28902,6519,23641,30345,166110,29119,0.0338,6.03,4.173240844
"36","Fremont",2000,104,1554,216949,7995,27136,18821,5382,25691,19357,74457,18949,0.0338,6.03,4.173240844
"37","Greene",2000,118,2035,246018,10341,23791,22710,5565,22357,27116,114584,22879,0.0338,6.03,4.173240844
"38","Grundy",2000,144,2395,334633,12368,27056,28010,6231,24703,27565,134505,28264,0.0338,6.03,4.173240844
"39","Guthrie",2000,112,1665,281493,11334,24836,11310,5458,19795,19512,108993,11539,0.0338,6.03,4.173240844
"40","Hamilton",2000,126,2467,433637,16423,26404,33759,11571,24219,28185,221134,34317,0.0338,6.03,4.173240844
"41","Hancock",2000,124,2214,324870,12109,26829,33865,10575,25847,31226,133482,34045,0.0338,6.03,4.173240844
"42","Hardin",2000,124,2208,466087,18807,24783,56931,11342,22815,28901,203790,57372,0.0338,6.03,4.173240844
"43","Harrison",2000,120,1700,409553,15685,26111,26814,7000,21198,27986,108561,27018,0.0338,6.03,4.173240844
"44","Henry",2000,117,1716,488798,20341,24030,9420,14466,26268,18672,82142,9514,0.0338,6.03,4.173240844
"45","Howard",2000,100,1571,245297,9934,24693,19290,6812,22691,20854,101442,19454,0.0338,6.03,4.173240844
"46","Humboldt",2000,135,2363,278830,10377,26870,28145,6738,22842,23615,88004,28282,0.0338,6.03,4.173240844
"47","Ida",2000,133,2056,200600,7804,25705,19520,5438,24957,18893,95347,19638,0.0338,6.03,4.173240844
"48","Iowa",2000,123,1817,475075,15729,30204,30205,14276,26628,22771,106741,30379,0.0338,6.03,4.173240844
"49","Jackson",2000,135,1713,464992,20297,22909,17111,10700,18811,19103,116480,17224,0.0338,6.03,4.173240844
"50","Jasper",2000,123,1892,987913,37252,26520,35198,20704,29460,29589,135584,35411,0.0338,6.03,4.173240844
"51","Jefferson",2000,114,1327,438074,16189,27060,10571,12489,28243,14634,57461,10636,0.0338,6.03,4.173240844
"52","Johnson",2000,122,2266,3374385,111455,30276,13435,87039,27914,19482,108352,13613,0.0338,6.03,4.173240844
"53","Jones",2000,131,1854,458066,20259,22610,26283,9546,21525,25168,123961,26486,0.0338,6.03,4.173240844
"54","Keokuk",2000,129,1620,273005,11418,23910,18534,5165,21160,24434,104141,18662,0.0338,6.03,4.173240844
"55","Kossuth",2000,126,2282,451793,17206,26258,59572,10774,21363,52892,246641,59870,0.0338,6.03,4.173240844
"56","Lee",2000,104,1567,908659,37931,23956,14657,23267,26493,14393,71722,14781,0.0338,6.03,4.173240844
"57","Linn",2000,124,2357,6123754,192365,31834,16259,144675,33568,25064,113356,16443,0.0338,6.03,4.173240844
"58","Louisa",2000,121,1979,291270,12174,23926,17602,5473,22080,15619,72572,17749,0.0338,6.03,4.173240844
"59","Lucas",2000,88,873,204942,9369,21874,2529,5504,22517,7384,35922,2574,0.0338,6.03,4.173240844
"60","Lyon",2000,113,2000,285364,11748,24290,46406,6140,19541,25271,224614,46643,0.0338,6.03,4.173240844
"61","Madison",2000,104,1456,362702,14049,25817,8031,6484,21447,12690,76119,8175,0.0338,6.03,4.173240844
"62","Mahaska",2000,110,1655,567057,22299,25430,28689,12097,22133,26398,140213,28884,0.0338,6.03,4.173240844
"63","Marion",2000,110,1581,867128,32104,27010,13651,23773,29358,14906,70136,13773,0.0338,6.03,4.173240844
"64","Marshall",2000,129,2015,1019021,39356,25892,15402,24116,26486,26387,130016,15700,0.0338,6.03,4.173240844
"65","Mills",2000,120,1698,445415,14554,30604,16583,6078,23420,15331,50154,16627,0.0338,6.03,4.173240844
"66","Mitchell",2000,114,1987,272953,10868,25115,38270,6086,21466,22692,149501,38577,0.0338,6.03,4.173240844
"67","Monona",2000,120,1561,247823,10009,24760,26554,5722,19121,26322,101633,26673,0.0338,6.03,4.173240844
"68","Monroe",2000,88,1081,195901,8005,24472,3571,5009,27258,7053,49963,3645,0.0338,6.03,4.173240844
"69","Montgomery",2000,120,1443,308883,11793,26192,25864,7275,22743,15550,80125,26093,0.0338,6.03,4.173240844
"70","Muscatine",2000,121,2142,1101541,41791,26358,12333,27717,31084,17900,77162,12452,0.0338,6.03,4.173240844
"71","O'Brien",2000,123,2468,391708,15067,25998,40328,9567,19660,28809,178529,40480,0.0338,6.03,4.173240844
"72","Osceola",2000,115,2112,178378,6985,25537,41550,3827,21255,20415,136718,41756,0.0338,6.03,4.173240844
"73","Page",2000,96,1302,407654,16939,24066,20289,9712,23120,18502,77945,20403,0.0338,6.03,4.173240844
"74","Palo Alto",2000,122,2133,250377,10135,24704,42784,5736,20387,27648,164977,42993,0.0338,6.03,4.173240844
"75","Plymouth",2000,107,2146,683784,24870,27494,48954,14909,24900,32567,247026,49269,0.0338,6.03,4.173240844
"76","Pocahontas",2000,118,2329,213987,8602,24876,35825,4946,21083,29952,123148,35963,0.0338,6.03,4.173240844
"77","Polk",2000,125,2026,12526539,375627,33348,11947,314367,33272,16858,70394,12152,0.0338,6.03,4.173240844
"78","Pottawattamie",2000,115,1809,2343266,88022,26621,30472,46346,24836,40548,175760,30655,0.0338,6.03,4.173240844
"79","Poweshiek",2000,126,1811,516442,18903,27321,22871,13709,25849,23374,102561,23084,0.0338,6.03,4.173240844
"80","Ringgold",2000,91,918,114398,5465,20933,9040,3069,20549,11706,59559,9163,0.0338,6.03,4.173240844
"81","Sac",2000,128,2206,279808,11481,24371,28591,5896,20041,25908,173265,28873,0.0338,6.03,4.173240844
"82","Scott",2000,154,3018,4567459,158614,28796,14148,105627,28561,20409,96143,14293,0.0338,6.03,4.173240844
"83","Shelby",2000,120,1807,333188,13031,25569,26777,7525,19763,28711,122487,26985,0.0338,6.03,4.173240844
"84","Sioux",2000,128,2319,780929,31609,24706,90184,22300,21626,41140,491246,90849,0.0338,6.03,4.173240844
"85","Story",2000,127,2384,2086721,80152,26035,26159,53650,25884,28302,117158,26360,0.0338,6.03,4.173240844
"86","Tama",2000,134,1965,414346,18084,22912,23243,8819,21747,32156,128901,23424,0.0338,6.03,4.173240844
"87","Taylor",2000,98,1051,146024,6976,20932,15492,3509,18062,14593,61423,15561,0.0338,6.03,4.173240844
"88","Union",2000,110,1108,275443,12281,22428,6636,8639,22145,10150,63812,6735,0.0338,6.03,4.173240844
"89","Van Buren",2000,104,1173,157834,7793,20253,5987,3929,20832,9937,53133,6083,0.0338,6.03,4.173240844
"90","Wapello",2000,114,1251,788480,36007,21898,4457,20220,24245,12039,50093,4513,0.0338,6.03,4.173240844
"91","Warren",2000,112,1589,1072113,40787,26286,6239,14367,22282,15487,65129,6317,0.0338,6.03,4.173240844
"92","Washington",2000,129,2071,592166,20718,28582,28805,11047,21491,26188,167567,29065,0.0338,6.03,4.173240844
"93","Wayne",2000,90,833,139810,6728,20780,12217,3497,19082,12626,43266,12259,0.0338,6.03,4.173240844
"94","Webster",2000,126,2432,999925,40234,24853,33627,25367,26122,33234,146429,33816,0.0338,6.03,4.173240844
"95","Winnebago",2000,119,1995,265236,11778,22520,16185,7681,19852,22741,91376,16330,0.0338,6.03,4.173240844
"96","Winneshiek",2000,112,1600,528405,21265,24849,28889,15437,22691,28529,158916,29147,0.0338,6.03,4.173240844
"97","Woodbury",2000,120,1665,2717769,103786,26186,16671,64806,25991,31468,147159,16875,0.0338,6.03,4.173240844
"98","Worth",2000,114,2005,181812,7894,23032,20436,3305,20480,19592,68226,20483,0.0338,6.03,4.173240844
"99","Wright",2000,128,2434,409455,14327,28579,54993,8560,24491,30998,178674,55496,0.0338,6.03,4.173240844
"100","Adair",2001,104,1264,211402,8132,25996,11481,5480,22924,17626,90340,11603,0.0283,5.02,1.093376112
"101","Adams",2001,109,1275,113708,4402,25831,15096,2691,22186,11543,43982,15143,0.0283,5.02,1.093376112
"102","Allamakee",2001,106,1314,344290,14333,24021,15879,9349,20866,13004,101632,16070,0.0283,5.02,1.093376112
"103","Appanoose",2001,86,853,288512,13578,21248,2667,7551,22411,7449,33450,2691,0.0283,5.02,1.093376112
"104","Audubon",2001,123,1913,181856,6664,27289,18641,3947,20803,18365,115088,18817,0.0283,5.02,1.093376112
"105","Benton",2001,136,2214,711463,25532,27866,40564,11018,23548,31024,138068,40810,0.0283,5.02,1.093376112
"106","Black Hawk",2001,144,2459,3336080,127765,26111,23911,85859,28379,21403,118901,24243,0.0283,5.02,1.093376112
"107","Boone",2001,124,2373,733261,26249,27935,10623,13564,26105,20574,109265,10850,0.0283,5.02,1.093376112
"108","Bremer",2001,120,2268,635562,23506,27038,18797,13741,25248,18675,103877,18939,0.0283,5.02,1.093376112
"109","Buchanan",2001,134,2231,522216,20952,24924,29131,9498,23843,23749,137635,29354,0.0283,5.02,1.093376112
"110","Buena Vista",2001,125,2356,518899,20241,25636,50492,13380,22653,25846,180358,50739,0.0283,5.02,1.093376112
"111","Butler",2001,138,2164,381161,15065,25301,31310,6772,21238,23511,132173,31633,0.0283,5.02,1.093376112
"112","Calhoun",2001,129,2398,266132,10918,24376,20814,5730,20195,24964,137706,20991,0.0283,5.02,1.093376112
"113","Carroll",2001,133,2103,599479,21225,28244,41941,16069,22404,23774,242575,42225,0.0283,5.02,1.093376112
"114","Cass",2001,120,1718,367545,14488,25369,17333,9227,21906,19253,111444,17479,0.0283,5.02,1.093376112
"115","Cedar",2001,140,2516,522636,18126,28833,31327,9202,22209,26276,120904,31523,0.0283,5.02,1.093376112
"116","Cerro Gordo",2001,122,2252,1285657,45844,28044,34069,33019,25913,24193,103564,34274,0.0283,5.02,1.093376112
"117","Cherokee",2001,114,2086,352389,12905,27306,35839,8468,22623,23877,133734,35961,0.0283,5.02,1.093376112
"118","Chickasaw",2001,117,1821,312643,13192,23699,12565,7565,22617,19442,130224,12844,0.0283,5.02,1.093376112
"119","Clarke",2001,84,1005,196410,9207,21333,-6485,6826,23772,7180,59049,-6251,0.0283,5.02,1.093376112
"120","Clay",2001,123,2174,478944,17256,27755,32987,12415,24507,23236,139818,33208,0.0283,5.02,1.093376112
"121","Clayton",2001,133,1804,455154,18529,24564,24328,11354,22848,21204,177746,24612,0.0283,5.02,1.093376112
"122","Clinton",2001,147,2076,1267735,49889,25411,35151,28618,25979,29544,136237,35320,0.0283,5.02,1.093376112
"123","Crawford",2001,126,1883,404575,16960,23855,30639,10450,24417,26230,149147,30807,0.0283,5.02,1.093376112
"124","Dallas",2001,116,2028,1352241,43204,31299,13075,18304,26384,18722,101652,13271,0.0283,5.02,1.093376112
"125","Davis",2001,88,1108,161482,8588,18803,-6996,4312,21187,9887,74092,-6924,0.0283,5.02,1.093376112
"126","Decatur",2001,82,798,155513,8669,17939,-317,4637,18082,8711,53664,-258,0.0283,5.02,1.093376112
"127","Delaware",2001,136,2408,453306,18294,24779,33943,10397,23127,23922,198802,34209,0.0283,5.02,1.093376112
"128","Des Moines",2001,123,1845,1138306,41820,27219,5619,29537,28356,12631,56677,5662,0.0283,5.02,1.093376112
"129","Dickinson",2001,114,1999,513287,16477,31152,13431,12439,22794,12945,66626,13501,0.0283,5.02,1.093376112
"130","Dubuque",2001,124,2177,2384634,88932,26814,42311,60986,27786,17318,155752,42509,0.0283,5.02,1.093376112
"131","Emmet",2001,118,2241,271409,10890,24923,17640,6705,24244,16628,92497,17732,0.0283,5.02,1.093376112
"132","Fayette",2001,128,2076,480258,21791,22039,26968,11673,21008,28614,189036,27245,0.0283,5.02,1.093376112
"133","Floyd",2001,116,2091,399357,16660,23971,17933,8512,23244,21371,120401,18222,0.0283,5.02,1.093376112
"134","Franklin",2001,128,2216,298795,10618,28140,30301,6485,24567,26903,164356,30534,0.0283,5.02,1.093376112
"135","Fremont",2001,109,1665,215213,7874,27332,20152,4983,24975,16751,70516,20266,0.0283,5.02,1.093376112
"136","Greene",2001,126,2076,248641,10150,24497,21764,5290,22371,22807,112168,21948,0.0283,5.02,1.093376112
"137","Grundy",2001,146,2450,352051,12319,28578,27081,6040,25324,25275,135015,27355,0.0283,5.02,1.093376112
"138","Guthrie",2001,119,1729,291016,11225,25926,9280,5232,20455,17947,112451,9528,0.0283,5.02,1.093376112
"139","Hamilton",2001,133,2519,428048,16236,26364,36002,10956,25299,25311,228142,36598,0.0283,5.02,1.093376112
"140","Hancock",2001,124,2274,317564,11954,26566,24862,10238,26527,24357,133119,25046,0.0283,5.02,1.093376112
"141","Hardin",2001,128,2255,496732,18669,26607,60288,11212,24107,24852,213979,60780,0.0283,5.02,1.093376112
"142","Harrison",2001,132,1789,409717,15592,26277,21339,6855,22325,22935,105612,21559,0.0283,5.02,1.093376112
"143","Henry",2001,115,1785,494453,20408,24228,7293,14040,27517,15675,83037,7393,0.0283,5.02,1.093376112
"144","Howard",2001,104,1640,240339,9908,24257,10338,6877,22667,17129,104235,10515,0.0283,5.02,1.093376112
"145","Humboldt",2001,128,2417,280694,10335,27160,23556,6557,23950,19881,85966,23701,0.0283,5.02,1.093376112
"146","Ida",2001,136,2120,212337,7704,27562,31825,5279,24737,19174,94200,31952,0.0283,5.02,1.093376112
"147","Iowa",2001,125,1874,484711,15868,30546,32778,13690,27360,21033,107585,32980,0.0283,5.02,1.093376112
"148","Jackson",2001,131,1834,472121,20267,23295,13230,10524,20006,16375,115878,13358,0.0283,5.02,1.093376112
"149","Jasper",2001,127,1956,1022361,37377,27353,34867,20489,30597,25596,134856,35087,0.0283,5.02,1.093376112
"150","Jefferson",2001,113,1380,419626,16207,25892,2577,12032,27231,13206,58267,2650,0.0283,5.02,1.093376112
"151","Johnson",2001,129,2380,3418443,113546,30106,17315,90321,29034,19317,110926,17521,0.0283,5.02,1.093376112
"152","Jones",2001,131,1985,468290,20254,23121,31117,9440,22075,22061,119504,31333,0.0283,5.02,1.093376112
"153","Keokuk",2001,119,1683,279708,11369,24603,11889,5119,22730,21630,105050,12022,0.0283,5.02,1.093376112
"154","Kossuth",2001,128,2337,447259,16912,26446,39841,10392,22430,42740,251145,40170,0.0283,5.02,1.093376112
"155","Lee",2001,100,1632,911272,37435,24343,12708,22291,27835,12813,69802,12832,0.0283,5.02,1.093376112
"156","Linn",2001,125,2498,6133297,194359,31557,20483,142896,34139,22460,111868,20682,0.0283,5.02,1.093376112
"157","Louisa",2001,119,2079,300674,12184,24678,15467,5588,23068,14376,71038,15625,0.0283,5.02,1.093376112
"158","Lucas",2001,88,911,202231,9386,21546,-1469,5416,24270,6304,36356,-1415,0.0283,5.02,1.093376112
"159","Lyon",2001,118,2024,295413,11684,25284,43934,6138,20379,22419,234488,44191,0.0283,5.02,1.093376112
"160","Madison",2001,110,1539,381102,14144,26944,9011,6525,22013,10974,74266,9157,0.0283,5.02,1.093376112
"161","Mahaska",2001,112,1721,568627,22407,25377,20552,11910,23271,20420,137720,20748,0.0283,5.02,1.093376112
"162","Marion",2001,112,1648,843590,32583,25890,11152,23485,28151,13465,68808,11288,0.0283,5.02,1.093376112
"163","Marshall",2001,132,2066,1072280,39414,27206,17791,24073,27528,24141,134618,18130,0.0283,5.02,1.093376112
"164","Mills",2001,116,1819,456719,14497,31504,17867,6006,24035,13812,47677,17914,0.0283,5.02,1.093376112
"165","Mitchell",2001,122,2049,272359,10736,25369,29856,5997,22524,18571,148863,30174,0.0283,5.02,1.093376112
"166","Monona",2001,122,1627,254758,9860,25838,26685,5443,20137,23678,98157,26809,0.0283,5.02,1.093376112
"167","Monroe",2001,88,1126,198973,7986,24915,-4442,4763,28616,5907,51264,-4359,0.0283,5.02,1.093376112
"168","Montgomery",2001,115,1546,298529,11509,25939,23343,7374,22657,13949,78195,23606,0.0283,5.02,1.093376112
"169","Muscatine",2001,126,2271,1167303,41760,27953,10248,27579,31330,15703,76321,10368,0.0283,5.02,1.093376112
"170","O'Brien",2001,123,2498,410372,14950,27450,40914,9421,20421,26085,183015,41068,0.0283,5.02,1.093376112
"171","Osceola",2001,121,2137,175256,6963,25170,36881,3727,22004,17267,141210,37106,0.0283,5.02,1.093376112
"172","Page",2001,98,1394,409782,16822,24360,20101,9155,23041,16253,77480,20212,0.0283,5.02,1.093376112
"173","Palo Alto",2001,123,2177,244232,10051,24299,35457,5374,20957,23093,173934,35670,0.0283,5.02,1.093376112
"174","Plymouth",2001,107,2213,700457,24847,28191,58111,14841,26210,31488,252408,58453,0.0283,5.02,1.093376112
"175","Pocahontas",2001,125,2381,211180,8465,24947,29653,4638,21166,25224,122642,29807,0.0283,5.02,1.093376112
"176","Polk",2001,126,2078,12941808,380108,34048,9062,315446,34605,13530,72333,9293,0.0283,5.02,1.093376112
"177","Pottawattamie",2001,122,1921,2409454,87953,27395,33439,46340,26035,32824,167389,33616,0.0283,5.02,1.093376112
"178","Poweshiek",2001,124,1868,528694,18972,27867,22177,13580,26734,21336,102809,22399,0.0283,5.02,1.093376112
"179","Ringgold",2001,93,968,112438,5415,20764,3689,3103,21413,10775,60781,3821,0.0283,5.02,1.093376112
"180","Sac",2001,136,2246,304461,11403,26700,38837,5746,21112,22934,171161,39114,0.0283,5.02,1.093376112
"181","Scott",2001,153,3233,4760053,158203,30088,16213,104676,29305,18242,95225,16366,0.0283,5.02,1.093376112
"182","Shelby",2001,124,1900,349767,12990,26926,32557,7482,20869,24324,118956,32800,0.0283,5.02,1.093376112
"183","Sioux",2001,130,2368,818333,31952,25611,106929,22143,22522,36168,511249,107627,0.0283,5.02,1.093376112
"184","Story",2001,129,2433,2146028,80260,26738,21557,53340,26720,23737,114004,21759,0.0283,5.02,1.093376112
"185","Tama",2001,134,2014,428069,18080,23676,22153,8645,22621,28645,128597,22337,0.0283,5.02,1.093376112
"186","Taylor",2001,101,1117,146839,6894,21300,9272,3324,18769,13233,63013,9337,0.0283,5.02,1.093376112
"187","Union",2001,116,1168,278232,12240,22731,1763,8452,22845,9308,69271,1883,0.0283,5.02,1.093376112
"188","Van Buren",2001,100,1222,153543,7716,19899,-502,3631,21744,8343,55885,-403,0.0283,5.02,1.093376112
"189","Wapello",2001,118,1302,843234,35947,23458,-2522,20187,25374,9749,50271,-2466,0.0283,5.02,1.093376112
"190","Warren",2001,110,1656,1100920,41080,26799,2817,14118,23170,12894,64814,2898,0.0283,5.02,1.093376112
"191","Washington",2001,129,2151,584855,21064,27766,27678,10251,22070,23029,172486,27947,0.0283,5.02,1.093376112
"192","Wayne",2001,86,870,134897,6655,20270,4046,3440,19676,11310,44056,4092,0.0283,5.02,1.093376112
"193","Webster",2001,124,2484,1024282,40045,25578,31526,25246,26938,28972,141180,31704,0.0283,5.02,1.093376112
"194","Winnebago",2001,118,2049,271024,11586,23392,7339,7111,20999,18714,97004,7513,0.0283,5.02,1.093376112
"195","Winneshiek",2001,106,1692,533844,21258,25113,14592,15498,23456,19796,166943,14882,0.0283,5.02,1.093376112
"196","Woodbury",2001,119,1731,2756044,103129,26724,26492,63735,26667,29941,140891,26699,0.0283,5.02,1.093376112
"197","Worth",2001,114,2063,172624,7797,22140,10454,3234,21489,16567,68271,10496,0.0283,5.02,1.093376112
"198","Wright",2001,129,2490,423501,14133,29965,54831,8318,24996,26180,184425,55351,0.0283,5.02,1.093376112
"199","Adair",2002,100,1333,219771,8059,27270,17325,5427,23230,6291,88727,17448,0.0159,4.61,1.827997979
"200","Adams",2002,115,1245,118813,4370,27188,17646,2566,22651,5511,41167,17686,0.0159,4.61,1.827997979
"201","Allamakee",2002,113,1548,349651,14289,24470,9870,9419,21674,9308,102257,10079,0.0159,4.61,1.827997979
"202","Appanoose",2002,99,946,299227,13420,22297,2351,7534,23391,5937,32917,2376,0.0159,4.61,1.827997979
"203","Audubon",2002,124,1748,185321,6572,28199,17097,3826,21487,7517,112232,17287,0.0159,4.61,1.827997979
"204","Benton",2002,139,2665,735721,25829,28484,41737,10807,24037,10457,127707,41994,0.0159,4.61,1.827997979
"205","Black Hawk",2002,148,2783,3494141,126876,27540,19600,86046,29116,6802,113457,19958,0.0159,4.61,1.827997979
"206","Boone",2002,128,2670,766091,26086,29368,15189,13442,27191,5728,104291,15416,0.0159,4.61,1.827997979
"207","Bremer",2002,128,2479,648949,23386,27749,18190,13448,26062,5898,102011,18338,0.0159,4.61,1.827997979
"208","Buchanan",2002,130,2291,520123,20796,25011,28850,9388,23884,8388,132091,29074,0.0159,4.61,1.827997979
"209","Buena Vista",2002,135,2581,527658,20233,26079,39830,13338,23524,7369,171825,40082,0.0159,4.61,1.827997979
"210","Butler",2002,140,2434,382908,14926,25654,25546,6747,21834,8138,127984,25916,0.0159,4.61,1.827997979
"211","Calhoun",2002,128,2471,268752,10683,25157,22028,5614,20754,8299,133000,22220,0.0159,4.61,1.827997979
"212","Carroll",2002,133,2535,602336,21159,28467,31932,16101,22937,6950,244263,32241,0.0159,4.61,1.827997979
"213","Cass",2002,123,1690,380200,14242,26696,15097,8943,23246,7583,113417,15255,0.0159,4.61,1.827997979
"214","Cedar",2002,138,2919,531999,18150,29311,28231,8946,23394,10509,112986,28431,0.0159,4.61,1.827997979
"215","Cerro Gordo",2002,124,2619,1284266,45430,28269,34843,32947,26466,8233,96018,35049,0.0159,4.61,1.827997979
"216","Cherokee",2002,126,2114,358086,12685,28229,35369,8076,24290,5819,130208,35478,0.0159,4.61,1.827997979
"217","Chickasaw",2002,117,2162,315365,12941,24369,10426,7394,23570,7137,127993,10740,0.0159,4.61,1.827997979
"218","Clarke",2002,91,978,204101,9213,22154,-5243,6624,24533,4765,60415,-4968,0.0159,4.61,1.827997979
"219","Clay",2002,117,2468,467643,17086,27370,23006,12018,25566,7104,140406,23243,0.0159,4.61,1.827997979
"220","Clayton",2002,143,1970,459740,18369,25028,19373,10949,23992,13409,171501,19662,0.0159,4.61,1.827997979
"221","Clinton",2002,152,2575,1302863,49659,26236,31756,28359,26685,10818,129141,31932,0.0159,4.61,1.827997979
"222","Crawford",2002,130,1942,416562,16981,24531,29274,10295,24865,7324,143063,29443,0.0159,4.61,1.827997979
"223","Dallas",2002,115,2447,1428690,44960,31777,13899,19233,26697,5873,95375,14064,0.0159,4.61,1.827997979
"224","Davis",2002,94,1100,166027,8586,19337,-7318,4309,20908,7542,74965,-7252,0.0159,4.61,1.827997979
"225","Decatur",2002,91,823,160680,8603,18677,404,4364,18796,5432,52183,461,0.0159,4.61,1.827997979
"226","Delaware",2002,145,2299,448193,18271,24530,21855,10079,23845,11715,194260,22149,0.0159,4.61,1.827997979
"227","Des Moines",2002,122,2388,1149296,41138,27938,6396,28168,28778,4605,50810,6436,0.0159,4.61,1.827997979
"228","Dickinson",2002,110,2019,534578,16351,32694,20077,12450,23518,4404,65232,20154,0.0159,4.61,1.827997979
"229","Dubuque",2002,138,2570,2487465,89132,27908,30777,60926,28656,11165,146368,30977,0.0159,4.61,1.827997979
"230","Emmet",2002,118,2509,283077,10815,26174,20025,6599,24157,6391,92674,20118,0.0159,4.61,1.827997979
"231","Fayette",2002,125,2030,478666,21643,22116,18739,11402,22003,12655,186192,19016,0.0159,4.61,1.827997979
"232","Floyd",2002,119,2123,416959,16670,25013,17489,8441,23722,7978,115834,17784,0.0159,4.61,1.827997979
"233","Franklin",2002,130,2386,294398,10674,27581,23702,6247,25323,8790,152426,23949,0.0159,4.61,1.827997979
"234","Fremont",2002,107,1923,211300,7787,27135,12752,4902,26562,6200,64698,12849,0.0159,4.61,1.827997979
"235","Greene",2002,130,2408,262784,10105,26005,27890,5280,23203,6777,106551,28087,0.0159,4.61,1.827997979
"236","Grundy",2002,149,2862,353307,12372,28557,30443,5880,25461,7075,129080,30736,0.0159,4.61,1.827997979
