X1,X2,Y
2.496709,3.449828,-35.84248
3.231508,4.180487,-38.07459
0.5650398,5.886025,-51.07357
3.440341,5.277583,-55.15567
3.541923,6.17372,-68.86702
3.006274,4.112951,-43.18034
3.290171,5.511312,-59.94548
1.814188,5.031655,-41.72876
1.785478,5.33835,-53.40818
2.472358,4.630121,-39.77438
4.38018,4.360466,-83.60239
5.230997,4.084704,-62.25896
1.976996,3.720535,-42.99459
3.806958,5.069933,-59.63719
2.796837,6.037412,-51.94868
0.7834787,4.657694,-41.55515
3.249485,6.613378,-63.66401
1.664661,3.379831,-37.08998
3.177377,5.347785,-44.3314
2.929823,4.877594,-49.52655
3.2575,5.102766,-53.52116
0.8146145,3.973129,-34.72964
1.989508,3.831608,-37.55172
3.508417,4.784813,-48.96257
3.845971,7.079912,-83.3162
2.115493,4.858593,-41.44151
3.399914,4.567648,-62.6915
3.533928,3.954385,-35.96586
5.163797,4.393137,-46.46202
2.928691,4.25332,-47.39254
2.714803,4.339631,-37.1622
2.551739,6.533992,-67.32473
5.088974,3.827635,-65.53295
4.008849,5.27502,-43.41483
4.758398,4.403183,-42.65937
3.859485,4.62985,-61.58215
2.126269,4.820969,-42.08854
2.746055,5.085697,-60.56757
3.075433,4.898002,-49.87466
3.348026,5.730299,-65.33133
1.859751,5.740136,-54.2306
3.689267,5.612754,-53.67788
3.462224,4.332294,-29.41547
3.589415,4.764087,-62.35916
2.950018,5.270564,-61.57566
1.820985,6.787189,-68.10287
1.613011,5.708667,-51.95443
4.11656,6.585567,-87.02081
3.59744,3.610167,-55.49089
3.944363,4.620902,-63.36358
2.482226,5.307107,-62.53534
3.563879,5.09325,-53.17869
2.500533,4.416052,-46.65971
1.791449,6.142559,-63.68797
3.342753,6.213696,-78.33987
4.792609,4.254435,-62.35686
3.831214,6.583132,-71.7196
3.783368,4.462116,-51.02536
4.452649,6.691787,-67.15775
3.443426,2.908726,-34.14339
3.330086,4.822914,-56.8481
4.255684,3.183859,-52.76013
3.130985,4.57583,-48.17619
1.547881,5.995854,-59.73808
2.55173,5.647898,-53.80111
3.150798,5.390791,-49.35329
2.547971,6.465737,-60.02071
1.889478,4.305492,-46.66708
4.102998,5.09969,-71.27043
4.014779,5.733993,-75.00372
3.332141,5.670941,-42.76701
1.373763,6.472249,-58.45644
4.04822,6.371177,-71.81038
4.014384,4.784069,-72.78324
2.410558,7.142898,-77.38232
1.960484,4.053866,-40.1399
2.528416,5.876757,-64.2596
2.329994,4.318426,-36.14468
2.531434,5.142967,-61.88229
2.723754,5.830729,-59.18221
1.638338,4.18143,-34.76074
3.777505,3.935177,-52.57748
3.074156,5.363749,-49.17492
4.274394,6.450231,-72.66832
3.823487,5.180208,-45.29015
3.251484,4.58337,-55.33797
1.00638,4.540451,-39.23079
3.328972,4.875494,-47.36188
1.927958,4.534202,-45.23041
2.970706,4.716684,-51.69099
4.467087,6.864273,-88.40889
3.499112,6.539566,-72.43285
2.274103,4.493334,-44.98353
3.376081,4.30602,-56.86002
0.5016835,2.798527,-23.20522
2.978717,5.463492,-65.22513
1.87626,4.229728,-35.89698
3.619613,4.44473,-71.38151
2.583105,4.807326,-51.66355
2.370454,3.893724,-40.93786
4.194925,4.463771,-63.81912
3.399136,4.246535,-44.74689
0.9329888,4.786364,-47.00014
3.584165,4.049519,-36.60259
4.389706,4.954774,-74.1633
2.631982,7.270401,-77.34007
0.6616935,4.502436,-36.78066
2.693521,4.728742,-61.54872
4.564583,5.093156,-64.64433
3.800436,4.637355,-43.82844
2.711569,6.088016,-66.04354
